#{"t_start": 1769178244.6437068, "env_id": "FetchReach-v4"}
r,l,t
-42.0,50,0.368006
-50.0,50,0.396436
-47.0,50,0.425277
-50.0,50,0.453706
-50.0,50,0.490535
-50.0,50,0.52043
-50.0,50,0.547034
-50.0,50,0.576661
-50.0,50,0.60442
-46.0,50,0.632811
-50.0,50,0.659503
-50.0,50,0.686254
-49.0,50,0.715959
-50.0,50,0.743446
-50.0,50,0.771968
-50.0,50,0.799493
-50.0,50,0.828279
-50.0,50,0.855676
-50.0,50,0.885225
-50.0,50,0.913681
-50.0,50,0.941071
-50.0,50,0.972463
-50.0,50,1.004894
-50.0,50,1.035967
-50.0,50,1.064024
-50.0,50,1.094567
-50.0,50,1.1218
-50.0,50,1.150926
-50.0,50,1.179428
-50.0,50,1.207204
-50.0,50,1.234912
-50.0,50,1.261647
-50.0,50,1.289738
-43.0,50,1.316876
-50.0,50,1.3438
-50.0,50,1.370744
-50.0,50,1.40084
-50.0,50,1.428324
-50.0,50,1.456105
-50.0,50,1.48368
-44.0,50,1.511986
-49.0,50,1.540285
-45.0,50,1.569773
-50.0,50,1.598376
-50.0,50,1.627808
-50.0,50,1.654904
-44.0,50,1.683412
-39.0,50,1.713435
-50.0,50,1.741195
-50.0,50,1.773604
-50.0,50,1.802504
-50.0,50,1.83081
-50.0,50,1.858918
-50.0,50,1.889214
-50.0,50,1.92084
-50.0,50,1.947411
-32.0,50,1.977825
-50.0,50,2.006964
-50.0,50,2.034253
-50.0,50,2.063171
-50.0,50,2.090762
-50.0,50,2.120698
-50.0,50,2.149151
-49.0,50,2.176372
-49.0,50,2.204414
-50.0,50,2.232164
-50.0,50,2.261167
-50.0,50,2.289839
-42.0,50,2.317076
-50.0,50,2.344298
-50.0,50,2.37186
-50.0,50,2.398073
-43.0,50,2.426297
-50.0,50,2.454081
-50.0,50,2.482597
-47.0,50,2.510507
-50.0,50,2.538884
-50.0,50,2.566758
-50.0,50,2.594565
-50.0,50,2.623037
-50.0,50,2.651235
-50.0,50,2.681504
-50.0,50,2.708225
-49.0,50,2.736202
-44.0,50,2.765831
-50.0,50,2.793885
-50.0,50,2.821498
-50.0,50,2.852192
-50.0,50,2.883019
-50.0,50,2.912746
-50.0,50,2.941765
-47.0,50,2.970874
-50.0,50,3.003354
-50.0,50,3.032203
-50.0,50,3.06254
-50.0,50,3.090119
-50.0,50,3.121425
-50.0,50,3.151573
-50.0,50,3.180847
-50.0,50,3.209103
-50.0,50,3.457067
-50.0,50,3.671931
-50.0,50,3.890356
-50.0,50,4.102823
-50.0,50,4.316975
-50.0,50,4.553958
-50.0,50,4.773037
-50.0,50,4.984595
-50.0,50,5.194049
-50.0,50,5.409114
-50.0,50,5.618112
-50.0,50,5.824383
-48.0,50,6.030237
-50.0,50,6.243422
-49.0,50,6.449559
-50.0,50,6.66609
-50.0,50,6.888541
-50.0,50,7.105157
-50.0,50,7.321649
