#{"t_start": 1769171071.657899, "env_id": "FetchReachDense-v4"}
r,l,t
-10.398908,50,0.747235
-18.17283,50,0.782991
-14.522124,50,1.025983
-12.351142,50,1.244667
-19.575866,50,1.483681
-16.964579,50,1.70545
-34.09091,50,1.92591
-5.507552,50,2.138752
-13.59492,50,2.353787
-10.834242,50,2.567537
-10.014089,50,2.782095
-10.218069,50,2.993269
-11.590017,50,3.207756
-7.091332,50,3.424129
-9.995345,50,3.640286
-9.316284,50,3.855023
-9.34754,50,4.068874
-3.747702,50,4.293024
-6.137204,50,4.507408
-6.371566,50,4.720971
-10.234221,50,4.938888
-3.46447,50,5.150739
-7.52527,50,5.367337
-7.695105,50,5.587241
-3.894694,50,5.802828
-6.353541,50,6.016731
-5.574886,50,6.232087
-5.399432,50,6.445909
-8.410812,50,6.660887
-3.268848,50,6.876747
-6.074584,50,7.090922
-4.118997,50,7.30794
-5.146088,50,7.52357
-2.586867,50,7.739539
-6.570039,50,7.955956
-6.376837,50,8.170695
-3.977595,50,8.389124
-2.338267,50,8.604835
-11.383191,50,8.82386
-4.545887,50,9.045121
-3.817773,50,9.263139
-10.052404,50,9.479214
-4.752112,50,9.695772
-7.974554,50,9.910636
-4.95172,50,10.13133
-7.401857,50,10.350845
-7.356756,50,10.566216
-6.734036,50,10.784943
-4.658852,50,11.00441
-3.15726,50,11.220291
-6.040203,50,11.433935
-5.441178,50,11.648578
-2.609399,50,11.867884
-2.87747,50,12.082646
-1.799258,50,12.297292
-5.158928,50,12.512242
-7.136471,50,12.732506
-3.630559,50,12.948132
-6.012214,50,13.16618
-4.543476,50,13.382812
-2.809183,50,13.598811
-5.710389,50,13.814668
-4.844271,50,14.029712
-7.016144,50,14.245119
-3.331346,50,14.463878
-4.200052,50,14.679941
-5.396132,50,14.893492
-4.672089,50,15.10781
-5.015653,50,15.323825
-3.95197,50,15.542189
-1.709718,50,15.755478
-2.810558,50,15.969835
-3.777659,50,16.183709
-1.782444,50,16.401285
-6.919265,50,16.615554
-3.473298,50,16.830518
-6.641242,50,17.047224
-1.569802,50,17.264048
-2.609112,50,17.483486
-3.413608,50,17.698755
-3.888987,50,17.918658
-3.200322,50,18.136344
-1.861865,50,18.357956
-3.377203,50,18.574156
-3.666684,50,18.791306
-2.211921,50,19.008989
-4.128511,50,19.225303
-2.103598,50,19.442281
-5.886717,50,19.65878
-1.586133,50,19.871737
-3.476048,50,20.089884
-1.993446,50,20.303594
-1.57767,50,20.520954
-3.740876,50,20.737458
-4.557445,50,20.95312
-2.61548,50,21.168827
-1.471786,50,21.400776
-2.235294,50,21.632266
-7.134831,50,21.854398
-4.380389,50,22.069807
-3.306397,50,22.287686
-4.134896,50,22.503723
-1.732997,50,22.730887
-2.174043,50,22.948797
-4.301184,50,23.165748
-3.369357,50,23.388511
-4.194996,50,23.604241
-4.980028,50,23.82064
-2.208815,50,24.041002
-2.262734,50,24.259618
-2.582099,50,24.475715
-2.353008,50,24.693014
-2.241426,50,24.911713
-2.479973,50,25.129424
-4.86484,50,25.34641
-4.746384,50,25.564747
-2.380163,50,25.786963
-5.112819,50,26.009485
-4.338432,50,26.239858
-3.190809,50,26.463183
-3.669897,50,26.682529
-1.989618,50,26.908427
-2.659006,50,27.129431
-3.709547,50,27.359848
-2.689139,50,27.586152
-2.024776,50,27.815742
-2.299723,50,28.039387
-1.024188,50,28.268981
-7.50207,50,28.513795
-4.685744,50,28.753497
-2.561322,50,28.978101
-2.599111,50,29.195075
-3.565117,50,29.434334
-1.846932,50,29.662873
-1.516069,50,29.878107
-1.617416,50,30.093621
-2.209199,50,30.31801
-3.031574,50,30.535816
-2.251201,50,30.751767
-4.133017,50,30.969299
-2.235963,50,31.191191
-4.356789,50,31.407748
-1.491332,50,31.637457
-5.683741,50,31.86004
-2.211181,50,32.080121
-2.985585,50,32.299181
-2.092074,50,32.515881
-4.194077,50,32.736018
-1.987338,50,32.956991
-2.258242,50,33.177157
-1.04422,50,33.395646
-1.623123,50,33.615568
-1.792853,50,33.841415
-1.468544,50,34.056598
-1.958943,50,34.271865
-2.4358,50,34.493617
-1.94083,50,34.716247
-1.552154,50,34.940725
-1.526013,50,35.154347
-2.133541,50,35.368464
-3.019209,50,35.592951
-1.690953,50,35.831262
-3.142076,50,36.049399
-1.992525,50,36.271191
-1.336747,50,36.494647
-1.769338,50,36.709902
-2.069332,50,36.928138
-1.430803,50,37.142747
-1.738493,50,37.362702
-1.395936,50,37.583335
-3.037162,50,37.802759
-0.729218,50,38.029432
-1.13643,50,38.250558
-2.341098,50,38.468968
-1.726636,50,38.698251
-2.330416,50,38.917536
-2.723091,50,39.14189
-3.817711,50,39.362703
-2.702364,50,39.584838
-3.932589,50,39.803445
-1.785593,50,40.026903
-3.514256,50,40.242433
-2.038474,50,40.512181
-1.8358,50,40.765609
-2.175659,50,41.005775
-1.564017,50,41.241957
-2.894093,50,41.465907
-5.721819,50,41.688693
-1.861253,50,41.90666
-1.120677,50,42.126943
-2.063206,50,42.349707
-2.416569,50,42.56608
-1.21632,50,42.78914
-1.553584,50,43.008665
-1.844604,50,43.22576
-1.812977,50,43.446553
-1.357832,50,43.67624
-3.200192,50,43.894482
-2.417524,50,44.11361
-1.272894,50,44.351764
-3.050569,50,44.585144
-1.985267,50,44.807776
-0.978453,50,45.029525
-2.552589,50,45.250922
-1.327207,50,45.470798
-2.826865,50,45.689231
-1.062535,50,45.906377
-5.031751,50,46.124172
-3.203679,50,46.344448
-1.333672,50,46.562169
-1.799281,50,46.778192
-1.878471,50,46.997918
-1.451162,50,47.219894
-2.55548,50,47.438316
-1.46087,50,47.655428
-1.363176,50,47.873627
-3.306436,50,48.101411
-1.988186,50,48.319859
-1.366557,50,48.536521
-1.503356,50,48.754431
-0.926102,50,48.975058
-0.882786,50,49.192138
