#{"t_start": 1769183404.058898, "env_id": "FetchReachDense-v4"}
r,l,t
-14.075663,50,0.843907
-10.329319,50,0.873852
-7.195001,50,0.903862
-13.014666,50,0.933592
-9.878227,50,0.973576
-10.724944,50,1.003172
-14.347708,50,1.031032
-10.998749,50,1.060617
-6.923354,50,1.08892
-9.858783,50,1.117052
-6.295984,50,1.146333
-11.68391,50,1.175064
-5.264778,50,1.203008
-12.563668,50,1.230809
-14.307918,50,1.262287
-6.012248,50,1.291151
-16.36283,50,1.320184
-4.21542,50,1.348652
-6.161207,50,1.378728
-5.878083,50,1.411769
-7.97728,50,1.439279
-7.478516,50,1.468574
-6.328626,50,1.496962
-11.593277,50,1.524518
-11.190692,50,1.554382
-7.999573,50,1.582868
-4.640934,50,1.610967
-13.822252,50,1.638541
-13.592756,50,1.667725
-10.506647,50,1.695924
-9.494987,50,1.723387
-13.100716,50,1.750819
-11.189339,50,1.779796
-6.247475,50,1.808598
-8.952097,50,1.8368
-9.100325,50,1.864913
-4.556499,50,1.895708
-10.158566,50,1.924434
-9.92974,50,1.952843
-9.8923,50,1.981326
-12.993572,50,2.009347
-11.78655,50,2.039164
-9.487223,50,2.067221
-7.829333,50,2.095102
-6.689107,50,2.124545
-16.221795,50,2.152554
-9.707678,50,2.182818
-12.995472,50,2.213189
-12.078148,50,2.242279
-8.690701,50,2.269759
-5.291621,50,2.298685
-9.965664,50,2.328086
-14.087943,50,2.355191
-5.917177,50,2.385634
-10.324664,50,2.41474
-11.428861,50,2.446144
-11.717238,50,2.476564
-6.052246,50,2.505001
-10.946075,50,2.534
-5.247994,50,2.563934
-11.882248,50,2.593539
-13.189263,50,2.623721
-10.816794,50,2.651226
-6.286529,50,2.680122
-12.01442,50,2.710982
-11.579002,50,2.739897
-7.233336,50,2.768195
-8.066163,50,2.796737
-9.61226,50,2.825078
-10.914956,50,2.854312
-6.386575,50,2.883289
-12.50328,50,2.915626
-10.056426,50,2.945543
-12.236858,50,2.973285
-7.067102,50,3.003278
-16.365404,50,3.031798
-9.309212,50,3.059822
-9.464218,50,3.088132
-7.204351,50,3.116004
-3.858715,50,3.146028
-8.66396,50,3.174649
-8.87395,50,3.203283
-8.476022,50,3.233171
-15.970565,50,3.262906
-5.770861,50,3.291719
-11.490989,50,3.319089
-6.436362,50,3.348096
-13.831707,50,3.375721
-8.191558,50,3.403114
