#{"t_start": 1769179680.039594, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,0.381864
-45.0,50,0.410326
-50.0,50,0.438076
-38.0,50,0.466152
-50.0,50,0.508553
-50.0,50,0.538296
-50.0,50,0.567064
-50.0,50,0.594932
-50.0,50,0.623836
-50.0,50,0.652683
-50.0,50,0.680854
-50.0,50,0.708391
-49.0,50,0.73766
-50.0,50,0.764778
-50.0,50,0.795311
-50.0,50,0.822042
-50.0,50,0.851795
-48.0,50,0.880095
-50.0,50,0.911688
-50.0,50,0.940272
-50.0,50,0.968894
-50.0,50,0.999241
-46.0,50,1.027432
-50.0,50,1.05693
-50.0,50,1.085815
-50.0,50,1.114887
-50.0,50,1.14318
-50.0,50,1.17407
-50.0,50,1.202888
-50.0,50,1.231277
-50.0,50,1.263964
-50.0,50,1.29345
-50.0,50,1.32206
-47.0,50,1.349619
-42.0,50,1.378688
-41.0,50,1.410628
-47.0,50,1.439393
-50.0,50,1.467878
-50.0,50,1.496901
-50.0,50,1.52716
-50.0,50,1.555569
-50.0,50,1.585278
-50.0,50,1.614146
-50.0,50,1.641846
-50.0,50,1.670433
-50.0,50,1.698798
-39.0,50,1.729632
-50.0,50,1.757856
-50.0,50,1.787373
-50.0,50,1.816426
-50.0,50,1.844908
-46.0,50,1.872448
-50.0,50,1.901937
-50.0,50,1.930986
-50.0,50,1.960474
-50.0,50,1.988834
-50.0,50,2.018072
-47.0,50,2.046302
-50.0,50,2.076114
-50.0,50,2.103874
-42.0,50,2.131513
-50.0,50,2.163718
-50.0,50,2.193022
-50.0,50,2.222892
-50.0,50,2.251216
-50.0,50,2.279705
-50.0,50,2.321439
-50.0,50,2.350477
-50.0,50,2.382993
-47.0,50,2.411512
-50.0,50,2.440556
-50.0,50,2.469524
-50.0,50,2.498214
-50.0,50,2.52779
-50.0,50,2.556792
-50.0,50,2.58563
-50.0,50,2.615761
-50.0,50,2.643348
-50.0,50,2.67184
-50.0,50,2.700681
-50.0,50,2.730122
-50.0,50,2.759102
-50.0,50,2.787611
-46.0,50,2.816521
-50.0,50,2.845039
-50.0,50,2.875318
-50.0,50,2.906288
-49.0,50,2.935154
-43.0,50,2.963658
-50.0,50,2.992426
-50.0,50,3.023155
-50.0,50,3.052123
-44.0,50,3.082287
-50.0,50,3.112349
-50.0,50,3.141274
-50.0,50,3.170143
-50.0,50,3.198065
-48.0,50,3.225711
-38.0,50,3.255148
-50.0,50,3.285603
-50.0,50,3.609965
-50.0,50,3.91341
-50.0,50,4.219111
-50.0,50,4.55325
-50.0,50,4.86783
-50.0,50,5.184055
-50.0,50,5.499732
-50.0,50,5.827938
-50.0,50,6.142756
-50.0,50,6.456711
-50.0,50,6.763413
-50.0,50,7.112405
-50.0,50,7.434748
-50.0,50,7.742429
-50.0,50,8.058562
-48.0,50,8.394459
-50.0,50,8.718159
-50.0,50,9.018993
-50.0,50,9.326181
-50.0,50,9.645998
-50.0,50,9.958733
-50.0,50,10.265001
-50.0,50,10.583519
-50.0,50,10.909026
-50.0,50,11.235224
-50.0,50,11.539188
-50.0,50,11.842757
-50.0,50,12.171201
-50.0,50,12.48004
-50.0,50,12.78519
-50.0,50,13.096959
-50.0,50,13.425565
-50.0,50,13.73616
-50.0,50,14.042414
-50.0,50,14.35462
-41.0,50,14.686544
-50.0,50,14.993476
-50.0,50,15.299153
-50.0,50,15.60687
-50.0,50,15.957691
-36.0,50,16.277543
-50.0,50,16.587934
-50.0,50,16.913938
-43.0,50,17.264553
-50.0,50,17.577278
-50.0,50,17.884632
-50.0,50,18.186198
-50.0,50,18.511426
-50.0,50,18.822544
-50.0,50,19.138999
-50.0,50,19.453951
-50.0,50,19.814188
-50.0,50,20.143367
-50.0,50,20.474886
-50.0,50,20.791846
-50.0,50,21.128393
-50.0,50,21.436275
-50.0,50,21.738616
-50.0,50,22.064304
-50.0,50,22.419022
-50.0,50,22.722872
-50.0,50,23.033527
-50.0,50,23.353634
-50.0,50,23.699542
-50.0,50,24.025005
-50.0,50,24.364626
-50.0,50,24.696527
-50.0,50,25.070556
-50.0,50,25.390309
-50.0,50,25.720499
-50.0,50,26.022854
-44.0,50,26.346667
-50.0,50,26.649824
-50.0,50,26.955721
-50.0,50,27.278963
-50.0,50,27.615565
-50.0,50,27.953375
-50.0,50,28.276887
-42.0,50,28.609722
-49.0,50,28.938658
-50.0,50,29.264379
-50.0,50,29.589415
-50.0,50,29.899166
-50.0,50,30.235705
-47.0,50,30.55639
-50.0,50,30.872301
-50.0,50,31.183818
-50.0,50,31.505412
-50.0,50,31.809551
