#{"t_start": 1769174367.960927, "env_id": "FetchReachDense-v4"}
r,l,t
-8.673944,50,0.362809
-5.561276,50,0.392907
-10.391995,50,0.420047
-10.633505,50,0.448196
-12.771534,50,0.487257
-12.597876,50,0.519601
-9.145242,50,0.547691
-4.856355,50,0.575142
-10.452044,50,0.60359
-7.084847,50,0.631459
-13.150012,50,0.659225
-12.447285,50,0.688541
-10.224492,50,0.721155
-6.501684,50,0.753917
-9.864009,50,0.783891
-10.789854,50,0.812691
-10.888071,50,0.839533
-8.908794,50,0.867205
-14.937634,50,0.89458
-16.802467,50,0.924963
-13.506541,50,0.951957
-13.075069,50,0.980205
-7.626011,50,1.00914
-10.720114,50,1.037061
-6.068895,50,1.06508
-17.42648,50,1.093286
-11.372379,50,1.121832
-9.431639,50,1.149737
-13.062381,50,1.178076
-14.340942,50,1.207447
-7.349546,50,1.235796
-8.245173,50,1.26633
-9.157885,50,1.297021
-9.750804,50,1.325563
-9.442604,50,1.354418
-8.924172,50,1.383271
-15.012898,50,1.41384
-9.713586,50,1.442153
-3.950971,50,1.469486
-12.882078,50,1.499142
-7.246825,50,1.526762
-11.416832,50,1.554283
-5.091646,50,1.583704
-7.650582,50,1.611021
-5.398459,50,1.639236
-6.365125,50,1.66639
-10.33442,50,1.695784
-12.162004,50,1.724212
-8.017819,50,1.751018
-15.1453,50,1.778584
-15.12311,50,1.806335
-5.863936,50,1.83453
-7.973842,50,1.862222
-17.065783,50,1.892864
-16.044379,50,1.920999
-8.410885,50,1.950523
-16.877214,50,1.980395
-8.19559,50,2.008595
-10.65425,50,2.038292
-12.482272,50,2.065487
-17.653324,50,2.092872
-6.532197,50,2.12141
-10.630241,50,2.150603
-10.76555,50,2.179351
-12.465842,50,2.207056
-10.373154,50,2.238056
-13.59302,50,2.266591
-16.894173,50,2.295407
-6.899797,50,2.323344
-5.155661,50,2.352212
-8.705371,50,2.381295
-8.750715,50,2.409268
-8.217432,50,2.438118
-9.175266,50,2.466467
-11.465728,50,2.493891
-11.133546,50,2.522755
-9.85407,50,2.549464
-6.69588,50,2.577727
-9.516703,50,2.604823
-8.611488,50,2.632041
-11.255115,50,2.658944
-7.487611,50,2.687246
-4.796232,50,2.714871
-8.21072,50,2.74349
-4.13166,50,2.770654
-12.622591,50,2.797654
-6.80763,50,2.825052
-12.156096,50,2.851685
-7.446012,50,2.882843
-16.10738,50,2.911399
-10.270403,50,2.939099
-14.305629,50,2.965876
-9.377721,50,2.995004
-9.276133,50,3.024721
-6.658089,50,3.052342
-4.698339,50,3.080351
-8.851514,50,3.109004
-11.413348,50,3.137382
-12.376919,50,3.166629
-17.631306,50,3.19351
-6.676079,50,3.519729
-8.430412,50,3.830755
-5.233232,50,4.153156
-6.181764,50,4.501802
-7.17572,50,4.818309
-9.167253,50,5.141499
-10.863801,50,5.445701
-10.34094,50,5.782947
-13.643764,50,6.089511
-13.49034,50,6.393299
-7.890751,50,6.693891
-8.058572,50,7.019046
-10.781324,50,7.324283
-12.336938,50,7.626277
-4.886952,50,7.933479
-14.837292,50,8.253761
-7.593787,50,8.558236
-7.09373,50,8.859006
-12.312652,50,9.160509
-12.114319,50,9.497165
-16.648197,50,9.801083
-7.308578,50,10.103031
-7.712732,50,10.402235
-7.310362,50,10.720235
-15.559812,50,11.026641
-11.957664,50,11.332344
-9.002592,50,11.633621
-14.581724,50,11.950281
-14.245942,50,12.254394
-8.621264,50,12.557406
-6.160175,50,12.856996
-13.996501,50,13.1946
-14.825225,50,13.499235
-8.38072,50,13.811791
-9.993456,50,14.120723
-10.994358,50,14.453043
-17.826162,50,14.761706
-14.765499,50,15.083195
-14.951323,50,15.401339
-17.179286,50,15.732637
-7.079666,50,16.050382
-14.170725,50,16.365858
-20.174544,50,16.679541
-16.560768,50,17.011376
-16.418807,50,17.323523
-9.037665,50,17.636636
-7.340114,50,17.945819
-21.630262,50,18.269042
-14.299501,50,18.575359
-10.987238,50,18.886778
-14.626881,50,19.197387
-15.721882,50,19.526717
-13.160507,50,19.84074
-12.578101,50,20.147497
-8.153881,50,20.45557
-10.409957,50,20.783774
-12.465913,50,21.100083
-11.322249,50,21.409533
-8.041845,50,21.711874
-12.584745,50,22.033959
-9.589175,50,22.344322
-14.232681,50,22.652022
-11.163135,50,22.963447
-4.602925,50,23.28668
-8.960272,50,23.625917
-9.528002,50,23.940517
-11.659466,50,24.264567
-14.961321,50,24.631575
-8.202274,50,24.950096
-8.385491,50,25.26193
-13.094879,50,25.576186
-6.588938,50,25.885467
-18.320117,50,26.192749
-14.054322,50,26.501511
-12.315201,50,26.814742
-8.546649,50,27.146404
-6.468237,50,27.462661
-11.417599,50,27.769318
-7.996773,50,28.073673
-13.093048,50,28.396903
-13.494046,50,28.70644
-11.068287,50,29.017208
-10.978138,50,29.331832
-10.10318,50,29.658875
-12.069464,50,29.978594
-14.364189,50,30.283272
-10.058116,50,30.592654
-14.472406,50,30.919605
-14.155313,50,31.228794
-9.468402,50,31.535185
-10.629093,50,31.840738
-2.8095,50,32.168875
-7.448478,50,32.475784
-6.667727,50,32.784225
-5.858821,50,33.094081
-13.512758,50,33.418157
-13.86523,50,33.724865
-5.755196,50,34.027805
-12.973308,50,34.334236
-7.21839,50,34.662639
-3.930825,50,34.969763
-6.277924,50,35.275141
-6.847521,50,35.577426
-4.147736,50,35.902985
-4.115648,50,36.212745
-8.681204,50,36.524867
-6.039072,50,36.835585
-4.330852,50,37.16573
-13.786407,50,37.478821
-4.485452,50,37.803597
-8.815364,50,38.116841
-7.687607,50,38.44252
-7.917582,50,38.753853
-5.014121,50,39.059999
-6.39837,50,39.368748
-6.157334,50,39.702285
-3.397258,50,40.018619
-7.15231,50,40.33212
-3.97515,50,40.646232
-7.097721,50,40.974838
-5.43042,50,41.293939
-5.626307,50,41.610083
-6.247466,50,41.93567
-6.16274,50,42.272352
-7.492111,50,42.59429
-5.913207,50,42.909374
-7.862572,50,43.22576
-5.970375,50,43.571621
-3.117346,50,43.887463
-7.555638,50,44.20236
-3.498788,50,44.55109
-6.870283,50,44.881776
-8.748475,50,45.205024
-3.569973,50,45.524181
-3.735073,50,45.839606
-5.46915,50,46.177743
-6.752013,50,46.503171
-3.260719,50,46.822285
-3.516336,50,47.136797
-6.427825,50,47.472814
-6.33741,50,47.786841
-6.190774,50,48.100923
-3.126577,50,48.423333
-9.764863,50,48.759251
-5.872625,50,49.08617
-6.444779,50,49.406207
-4.98345,50,49.722875
-5.464295,50,50.051513
-6.696226,50,50.364888
-4.132107,50,50.681209
-5.159968,50,50.99177
-5.573265,50,51.323746
-5.929486,50,51.635585
-4.334725,50,51.941548
-3.730782,50,52.256519
-3.551171,50,52.586458
-7.483508,50,52.910729
-5.319679,50,53.226129
-4.671912,50,53.539912
-6.415572,50,53.866219
-6.403811,50,54.193834
-5.019808,50,54.506824
-3.057963,50,54.819279
-3.909676,50,55.14569
-3.236111,50,55.454052
-3.586051,50,55.759701
-4.373263,50,56.071219
-2.900748,50,56.395886
-5.100979,50,56.701476
-6.075509,50,57.006044
-6.709362,50,57.31262
-6.010964,50,57.640417
-5.29287,50,57.947233
-3.991213,50,58.252568
-3.701687,50,58.559785
-5.252789,50,58.882362
-6.321459,50,59.188234
-6.22246,50,59.495726
-5.90127,50,59.803433
-4.74436,50,60.129237
-2.738366,50,60.438232
-5.073144,50,60.743774
-5.332883,50,61.047867
-4.751327,50,61.375112
-3.717275,50,61.682067
-3.337102,50,61.991401
-4.643725,50,62.298898
-4.574463,50,62.621584
-4.102237,50,62.92938
-4.200115,50,63.238537
-3.995881,50,63.544313
-3.401304,50,63.872711
-3.283282,50,64.184541
-4.197198,50,64.493992
-4.470797,50,64.79921
-3.712626,50,65.122178
