#{"t_start": 1769185642.193214, "env_id": "FetchReachDense-v4"}
r,l,t
-8.677838,50,0.860707
-12.434723,50,0.889883
-7.934922,50,0.918602
-9.629781,50,0.947357
-12.635338,50,0.986566
-9.928131,50,1.014965
-10.524756,50,1.044559
-11.582397,50,1.073224
-12.930361,50,1.104847
-7.800001,50,1.13194
-9.794602,50,1.160103
-14.624035,50,1.188985
-9.996443,50,1.217793
-13.860073,50,1.248742
-10.8764,50,1.278677
-6.774408,50,1.307922
-12.718389,50,1.335953
-10.112999,50,1.362803
-9.5922,50,1.3907
-8.645762,50,1.418532
-11.512476,50,1.449536
-11.719869,50,1.478274
-18.565312,50,1.505986
-10.104993,50,1.534581
-11.003431,50,1.56199
-6.834785,50,1.591168
-13.715105,50,1.620248
-12.567171,50,1.649989
-13.071533,50,1.678675
-13.20986,50,1.706722
-4.863677,50,1.73474
-13.226491,50,1.765086
-9.241436,50,1.79414
-7.838368,50,1.821412
-4.497328,50,1.848651
-10.45812,50,1.876073
-7.369463,50,1.90518
-8.272419,50,1.93354
-15.09918,50,1.961213
-9.885442,50,1.988705
-14.022523,50,2.020646
-8.514268,50,2.049267
-6.920868,50,2.077419
-9.529566,50,2.105744
-8.534508,50,2.133086
-8.835564,50,2.16417
-9.610399,50,2.193918
-12.269945,50,2.223729
-12.34066,50,2.251942
-15.559665,50,2.281081
-7.319433,50,2.30847
-11.09865,50,2.337576
-11.019491,50,2.365688
-11.391198,50,2.39741
-9.988977,50,2.425836
-7.132279,50,2.454646
-7.107783,50,2.482631
-14.245497,50,2.510218
-9.751028,50,2.538934
-10.217806,50,2.566497
-17.598982,50,2.593883
-11.734725,50,2.621554
-11.047657,50,2.650311
-10.03553,50,2.679012
-10.403585,50,2.709611
-7.224671,50,2.738986
-10.219564,50,2.768117
-16.743286,50,2.795663
-10.78508,50,2.824338
-7.897812,50,2.852726
-11.782012,50,2.881294
-9.169418,50,2.909244
-8.751725,50,2.938062
-7.005238,50,2.967694
-6.057151,50,2.99569
-13.339055,50,3.025172
-9.212497,50,3.055157
-11.846584,50,3.082818
-7.86097,50,3.110844
-7.213436,50,3.139895
-9.20622,50,3.169654
-8.610003,50,3.200771
-8.275114,50,3.228433
-16.317345,50,3.258151
-6.183107,50,3.286646
-10.025273,50,3.315045
-11.5591,50,3.343546
-9.094697,50,3.372358
-7.92512,50,3.400011
-4.899202,50,3.428651
-13.175124,50,3.456231
-7.055431,50,3.484156
-6.073758,50,3.511675
-4.187254,50,3.542096
-6.125055,50,3.569334
-3.603313,50,3.597452
-11.8262,50,3.626658
-7.329877,50,3.655436
-6.614248,50,3.685557
-8.900962,50,3.712731
-5.957764,50,4.097825
-8.993405,50,4.452454
-16.592715,50,4.812752
-7.05413,50,5.164159
-14.495759,50,5.509771
-9.89764,50,5.862511
-11.317707,50,6.194837
-8.991552,50,6.573295
-10.276317,50,6.918181
-9.498557,50,7.262455
-18.958535,50,7.599793
-16.839515,50,7.985143
-12.010122,50,8.315859
-8.593476,50,8.654249
-13.918964,50,8.981106
-19.448703,50,9.347363
-7.393474,50,9.6785
-6.657489,50,10.002714
-12.016115,50,10.327704
-12.402897,50,10.678325
-11.413027,50,11.019274
-12.003615,50,11.347735
-15.018378,50,11.672484
-13.620803,50,12.03432
-16.932806,50,12.368521
-7.831843,50,12.710296
-5.596503,50,13.05069
-18.162639,50,13.420705
-13.244103,50,13.771474
-7.509011,50,14.106855
-12.097372,50,14.442901
-13.061832,50,14.817526
-10.657111,50,15.162293
-16.181452,50,15.511266
-15.860044,50,15.834744
-13.090517,50,16.190213
-13.530646,50,16.521264
-17.645653,50,16.904895
-13.689803,50,17.269373
-7.049434,50,17.655031
-15.524839,50,18.027798
-18.036925,50,18.387475
-15.002045,50,18.747727
-11.374985,50,19.112027
-15.757024,50,19.461342
-11.00108,50,19.806753
-11.593415,50,20.150296
-21.720936,50,20.522621
-16.429631,50,20.87142
-13.311111,50,21.215957
-23.642745,50,21.607869
-12.349661,50,22.036807
-13.001575,50,22.410901
-12.353413,50,22.745769
-10.527731,50,23.072489
-19.166597,50,23.423849
-13.877308,50,23.749156
-18.634747,50,24.084413
-20.450914,50,24.408457
-14.84302,50,24.757804
-8.993557,50,25.087531
-9.605003,50,25.410982
-20.114762,50,25.733491
-9.340173,50,26.099338
-12.063666,50,26.428492
-12.750949,50,26.752012
-15.01299,50,27.074016
-17.483473,50,27.42339
-5.275375,50,27.752074
-7.888999,50,28.091426
-11.605834,50,28.417803
-8.20822,50,28.781661
-11.312289,50,29.108387
-21.542224,50,29.444316
-17.403485,50,29.776355
-9.743597,50,30.150913
-11.744407,50,30.48056
-13.087364,50,30.805581
-17.957466,50,31.129111
-19.190265,50,31.501451
-16.809221,50,31.831061
-10.494215,50,32.211048
-14.404928,50,32.539151
-16.15858,50,32.915043
-13.568558,50,33.276624
-7.519864,50,33.615176
-11.886835,50,33.944643
-15.571848,50,34.301118
-8.702522,50,34.662233
-7.18946,50,35.007034
-17.923641,50,35.331662
-13.469498,50,35.683487
-20.924859,50,36.039838
-14.31874,50,36.376282
-8.342532,50,36.714677
-7.332287,50,37.105252
-16.468545,50,37.443922
-11.53204,50,37.778842
-6.378031,50,38.109663
-8.962598,50,38.494041
-15.31343,50,38.825161
-9.912336,50,39.158619
-14.787092,50,39.503891
-6.214059,50,39.888424
-7.79887,50,40.243753
-9.690862,50,40.569148
-8.507193,50,40.906502
-9.754681,50,41.29248
-7.701059,50,41.641569
-10.165607,50,41.964008
-14.683557,50,42.30515
-6.62914,50,42.67475
-8.091321,50,42.998841
-17.488709,50,43.325218
-12.504119,50,43.649318
-12.961901,50,44.026852
-5.06675,50,44.362878
-6.932799,50,44.689416
-7.829077,50,45.021723
-4.971609,50,45.409021
-8.362189,50,45.744717
-7.785749,50,46.087521
-5.341441,50,46.434072
-9.677535,50,46.792683
-5.139001,50,47.139642
-3.59093,50,47.467517
-10.829236,50,47.796077
-6.567255,50,48.190749
-4.842769,50,48.536999
-5.416162,50,48.872163
-11.058734,50,49.221346
-6.094001,50,49.603498
-3.143235,50,49.93466
-5.194884,50,50.252838
-10.639009,50,50.581695
-6.205306,50,50.95989
-4.016827,50,51.300368
-6.455319,50,51.639806
-6.498065,50,51.976742
-9.478956,50,52.333378
-5.954395,50,52.670143
-8.974901,50,52.99501
-8.131727,50,53.325596
-11.130526,50,53.716989
-3.355928,50,54.057997
-5.153305,50,54.386789
-4.985054,50,54.714412
-7.471641,50,55.060501
-3.430155,50,55.39718
-8.337778,50,55.724302
-9.075189,50,56.061902
-4.047554,50,56.422027
-10.585313,50,56.74623
-7.224505,50,57.066791
-3.609996,50,57.388823
-7.257318,50,57.735019
-2.422641,50,58.063545
-8.611744,50,58.401384
-5.643789,50,58.725517
-4.332423,50,59.085917
-2.628463,50,59.411556
-2.842878,50,59.735669
-4.741436,50,60.053622
-3.313829,50,60.403116
-2.973719,50,60.726769
-6.397505,50,61.045803
-2.87831,50,61.366809
-3.582903,50,61.727695
-3.612913,50,62.053024
-2.668701,50,62.373985
-3.854404,50,62.690354
-2.643922,50,63.036686
-5.218945,50,63.375099
-4.798779,50,63.700496
-4.165138,50,64.021872
-3.124863,50,64.365432
-2.776426,50,64.702174
-3.749297,50,65.025167
-3.161359,50,65.346065
-4.378901,50,65.704635
-3.455016,50,66.035556
-5.411108,50,66.357135
-2.32019,50,66.675454
-3.258402,50,67.021575
-3.540259,50,67.352058
-4.345526,50,67.687083
-2.94119,50,68.015707
-2.441753,50,68.3896
-2.309359,50,68.727152
-2.647666,50,69.085862
-1.928303,50,69.405097
-2.092926,50,69.756903
-2.593591,50,70.104166
-2.927038,50,70.48451
-1.920387,50,70.903238
-3.318393,50,71.30992
-2.286104,50,71.781414
-2.687064,50,72.166552
-2.212939,50,72.553256
-2.395024,50,72.889906
-1.760537,50,73.268603
-2.673044,50,73.652737
-2.685334,50,74.015032
-2.30685,50,74.365118
-1.839661,50,74.695171
-2.659036,50,75.028837
-2.504852,50,75.354305
-2.37032,50,75.704841
-2.713526,50,76.030368
-1.82321,50,76.35664
-3.058203,50,76.677287
-2.455642,50,77.036764
-2.794127,50,77.359057
-1.699379,50,77.688933
-1.942089,50,78.013859
-2.076003,50,78.361088
-2.764063,50,78.683084
-1.989631,50,79.01662
-1.951468,50,79.368777
-2.479734,50,79.76089
-1.891507,50,80.093243
-2.383904,50,80.438305
-2.061665,50,80.78468
-2.388115,50,81.145866
-2.475081,50,81.482985
-1.949048,50,81.839042
-2.661799,50,82.185872
-2.725078,50,82.557532
-1.928829,50,82.897732
-1.966218,50,83.227321
-2.863774,50,83.566431
-2.34135,50,83.930707
-1.550907,50,84.265789
-2.498776,50,84.589877
-1.759227,50,84.912409
-2.285952,50,85.273327
-2.016535,50,85.595644
-2.113756,50,85.921342
-2.276309,50,86.248591
-2.324928,50,86.594814
-2.309576,50,86.931595
-1.983542,50,87.248395
-2.367088,50,87.580157
-2.564832,50,87.945208
-2.404542,50,88.270921
-2.178058,50,88.624027
-2.464644,50,88.96187
-1.789609,50,89.334826
-2.466442,50,89.673966
-1.972443,50,89.999649
-2.000257,50,90.336138
-2.801283,50,90.692236
-1.7113,50,91.031177
-2.409602,50,91.3756
-1.970998,50,91.702028
-2.628365,50,92.090579
-2.899586,50,92.415729
-2.103362,50,92.737834
-2.402508,50,93.061329
-2.457326,50,93.410364
-2.439021,50,93.745229
-3.079164,50,94.070345
-2.42511,50,94.391763
-2.132063,50,94.745761
-1.539789,50,95.070008
-2.220229,50,95.393226
-1.927131,50,95.718309
-1.200671,50,96.090684
-2.303216,50,96.419388
-3.029271,50,96.741786
-3.031446,50,97.066736
-1.931462,50,97.412416
-2.024068,50,97.748732
-1.942186,50,98.070426
-1.645294,50,98.390386
-2.077663,50,98.748725
-1.771501,50,99.071537
-2.293669,50,99.390884
-1.927095,50,99.712434
-2.833548,50,100.059307
-1.860939,50,100.395521
-1.439006,50,100.719196
-1.675736,50,101.044319
-1.824138,50,101.389803
-1.858012,50,101.728463
-2.126411,50,102.069697
-1.584481,50,102.396939
-1.557315,50,102.763005
-2.375249,50,103.085405
-1.619942,50,103.408189
-1.735502,50,103.742775
-1.777485,50,104.135804
-1.624786,50,104.483973
-2.284589,50,104.825345
-1.507004,50,105.167947
-1.669627,50,105.55061
-2.146307,50,105.911963
-1.668851,50,106.252984
-1.971359,50,106.578653
-2.926752,50,106.942542
-2.407263,50,107.277579
-1.402174,50,107.635707
-1.928063,50,107.960655
-2.13422,50,108.314582
-1.532397,50,108.660921
-2.157969,50,108.997272
-2.33284,50,109.322446
-2.092839,50,109.697263
-1.728497,50,110.026947
-1.891549,50,110.351234
-1.683603,50,110.707242
-1.863584,50,111.064762
-1.726387,50,111.409317
-1.643264,50,111.733793
-1.788332,50,112.058066
-2.086583,50,112.412415
-1.751778,50,112.739601
-1.495936,50,113.064163
-2.375185,50,113.396142
-2.197287,50,113.765998
-2.738108,50,114.096334
-1.980356,50,114.423481
-2.206457,50,114.753856
-1.929014,50,115.106864
-1.590957,50,115.450611
-2.467432,50,115.782696
-2.166874,50,116.103569
-2.319214,50,116.454069
-1.968249,50,116.782271
-2.654384,50,117.104366
-2.020094,50,117.425719
-2.261733,50,117.791081
-2.597479,50,118.113876
-1.622746,50,118.436227
-1.727179,50,118.762131
-2.310517,50,119.10743
-2.155582,50,119.447644
-1.936759,50,119.772753
-1.548576,50,120.10125
-1.616451,50,120.45229
-2.759797,50,120.79966
-1.638653,50,121.12273
-1.739235,50,121.447626
-1.95359,50,121.808852
-2.396044,50,122.134943
-1.654528,50,122.466817
-1.810962,50,122.795047
-2.379601,50,123.162398
-1.539836,50,123.513845
-2.082874,50,123.848215
-1.539825,50,124.184413
-1.496834,50,124.546451
-2.062626,50,124.883764
-1.795143,50,125.206286
-2.313971,50,125.533569
-1.793167,50,125.886135
-1.873617,50,126.212066
-1.559354,50,126.563677
-1.89333,50,126.890331
-1.556488,50,127.279012
-1.639899,50,127.613249
-1.74427,50,127.952824
-1.332269,50,128.30541
-1.470431,50,128.661209
-1.439845,50,129.000185
-1.747357,50,129.36141
-1.448001,50,129.690058
-1.220108,50,130.053452
-1.639592,50,130.378597
-2.102829,50,130.71371
-1.790199,50,131.041358
-1.351377,50,131.396536
-2.351775,50,131.743234
-1.602336,50,132.078225
-1.317765,50,132.403551
-1.588894,50,132.768568
-1.705264,50,133.09661
-1.598114,50,133.426863
-1.334571,50,133.753681
-1.720179,50,134.112267
-1.675783,50,134.452109
-2.189931,50,134.776842
-1.829156,50,135.116893
-1.946125,50,135.467573
-2.161443,50,135.790296
-1.434167,50,136.115045
-1.316031,50,136.439762
-1.999315,50,136.830372
-1.504568,50,137.165288
-1.219507,50,137.517566
-1.516772,50,137.856687
-1.334585,50,138.21496
-1.739503,50,138.554
-1.614179,50,138.897037
-1.351801,50,139.233659
-1.247311,50,139.614305
-1.143768,50,139.95223
-1.239835,50,140.305588
-1.984697,50,140.640222
-1.425086,50,141.01242
-1.556061,50,141.549201
-1.330271,50,141.887068
-1.260473,50,142.286575
-1.922662,50,142.654856
-2.182213,50,143.022179
-1.220826,50,143.387486
-1.183793,50,143.760558
-0.961172,50,144.136964
-0.890043,50,144.49828
-1.212387,50,144.832101
-1.576177,50,145.161414
-1.021655,50,145.514247
-1.24455,50,145.870578
-1.264646,50,146.243394
-0.974124,50,146.600718
-0.987264,50,146.955919
-1.872566,50,147.28461
-0.98497,50,147.618268
-1.630027,50,147.95486
-1.473217,50,148.372207
-1.202613,50,148.731405
-0.927396,50,149.076622
-1.601158,50,149.425032
-1.233931,50,149.784248
-1.611418,50,150.126114
-1.309806,50,150.458164
-1.107732,50,150.784736
-0.993395,50,151.141627
-1.512436,50,151.469451
-1.813224,50,151.79999
-1.402715,50,152.126259
-1.419237,50,152.490425
-1.143621,50,152.814584
-0.966784,50,153.13798
-1.595653,50,153.461979
-0.978593,50,153.811823
-1.707572,50,154.153356
-1.221212,50,154.481748
-1.2071,50,154.809426
-2.416878,50,155.168136
-1.325234,50,155.496467
-2.657744,50,155.823925
-2.286948,50,156.156067
-1.750452,50,156.527798
-1.605804,50,156.854026
-2.5618,50,157.179093
-1.175771,50,157.521549
-1.757962,50,157.882856
-1.313269,50,158.227904
-1.817685,50,158.556792
-1.27827,50,158.888491
-2.724896,50,159.253489
-1.738525,50,159.584194
-1.401646,50,159.907801
-1.558361,50,160.231471
-1.416707,50,160.581891
-1.790502,50,160.921151
-2.483166,50,161.246283
-1.861025,50,161.57627
-2.398732,50,161.927593
-1.131225,50,162.267788
-2.040573,50,162.604335
-0.974282,50,162.935845
-2.102243,50,163.296491
-2.534488,50,163.626118
-1.596026,50,163.959529
-1.78618,50,164.292843
-2.136239,50,164.668125
-2.110754,50,165.007831
-2.578248,50,165.340268
-2.079073,50,165.668544
-1.803885,50,166.026677
-1.460007,50,166.371181
-1.9284,50,166.698082
-2.926862,50,167.028717
-2.67745,50,167.376105
-2.874098,50,167.707246
-1.50449,50,168.040205
-1.941547,50,168.379121
-1.293945,50,168.740816
-2.730864,50,169.067744
-3.243257,50,169.394063
-3.848004,50,169.720902
-3.320011,50,170.066854
-3.031976,50,170.403635
-2.852727,50,170.734126
-2.54138,50,171.058446
-3.166284,50,171.409589
-1.656336,50,171.734797
-3.502502,50,172.061526
-2.366108,50,172.385149
-2.829071,50,172.750391
-3.875985,50,173.077557
-2.747996,50,173.403806
-2.899469,50,173.735429
-2.552966,50,174.092598
-2.510661,50,174.428003
-2.594474,50,174.752094
-4.546057,50,175.080664
-2.376715,50,175.437445
-3.483005,50,175.777134
-2.880774,50,176.102277
-3.17511,50,176.428666
-3.163383,50,176.794897
-4.270339,50,177.128407
-2.874516,50,177.456442
-2.721059,50,177.783336
-3.64505,50,178.133604
-3.143828,50,178.472498
-4.177597,50,178.797763
-2.662069,50,179.130829
-2.658833,50,179.491384
-4.21012,50,179.817106
-3.260692,50,180.139439
-2.572673,50,180.469923
-3.626409,50,180.842448
-2.396397,50,181.176974
-3.305665,50,181.505215
-3.605626,50,181.834542
-4.465678,50,182.206166
-4.655816,50,182.554067
-3.034752,50,182.882415
-4.094947,50,183.208518
-4.814678,50,183.56278
-4.583894,50,183.898095
-3.925031,50,184.222932
-3.508763,50,184.556973
-2.991147,50,184.934493
-3.748515,50,185.271402
-4.284466,50,185.594888
-4.284183,50,185.92137
-3.038053,50,186.292536
-3.749035,50,186.625673
-4.943777,50,186.961273
-3.833473,50,187.290125
-4.749429,50,187.644772
-4.122965,50,187.990558
-5.554535,50,188.323523
-4.750284,50,188.651894
-4.4188,50,189.006176
-4.309834,50,189.337111
-5.318909,50,189.664294
-4.830802,50,189.990344
-4.649662,50,190.356936
-4.337167,50,190.685165
-4.104872,50,191.022444
-2.466388,50,191.352759
-3.918693,50,191.702283
-4.654972,50,192.042184
-4.543612,50,192.37152
-4.767431,50,192.701316
-4.739584,50,193.067617
-3.32929,50,193.402428
-4.8103,50,193.727328
-4.155095,50,194.060029
