#{"t_start": 1769181951.8900201, "env_id": "FetchReach-v4"}
r,l,t
-49.0,50,0.370914
-50.0,50,0.399596
-50.0,50,0.428047
-50.0,50,0.45543
-50.0,50,0.490358
-50.0,50,0.518808
-45.0,50,0.548563
-50.0,50,0.577081
-45.0,50,0.606185
-50.0,50,0.633103
-50.0,50,0.660713
-50.0,50,0.687613
-50.0,50,0.715529
-50.0,50,0.742944
-50.0,50,0.774442
-50.0,50,0.801737
-50.0,50,0.829345
-50.0,50,0.856477
-38.0,50,0.884249
-50.0,50,0.911524
-50.0,50,0.938392
-48.0,50,0.967162
-49.0,50,0.996256
-50.0,50,1.023902
-50.0,50,1.051724
-49.0,50,1.081528
-50.0,50,1.110362
-50.0,50,1.137504
-50.0,50,1.165407
-48.0,50,1.19393
-50.0,50,1.222649
-50.0,50,1.252053
-50.0,50,1.28397
-50.0,50,1.314177
-50.0,50,1.343259
-50.0,50,1.370156
-46.0,50,1.396742
-50.0,50,1.426771
-46.0,50,1.454414
-48.0,50,1.481672
-50.0,50,1.509826
-50.0,50,1.536998
-50.0,50,1.56399
-50.0,50,1.591334
-50.0,50,1.619243
-50.0,50,1.646209
-50.0,50,1.673612
-50.0,50,1.700974
-50.0,50,1.728489
-50.0,50,1.756013
-50.0,50,1.783455
-50.0,50,1.809675
-50.0,50,1.838825
-50.0,50,1.870222
-50.0,50,1.897926
-50.0,50,1.926264
-50.0,50,1.954135
-50.0,50,1.982221
-50.0,50,2.009151
-50.0,50,2.037392
-50.0,50,2.067021
-48.0,50,2.094737
-50.0,50,2.124186
-50.0,50,2.15471
-50.0,50,2.184142
-50.0,50,2.213333
-50.0,50,2.241796
-50.0,50,2.268959
-50.0,50,2.298174
-49.0,50,2.326371
-50.0,50,2.354803
-46.0,50,2.382245
-50.0,50,2.409389
-50.0,50,2.436693
-49.0,50,2.465693
-50.0,50,2.494365
-39.0,50,2.522553
-50.0,50,2.550343
-48.0,50,2.578828
-50.0,50,2.605631
-50.0,50,2.634417
-50.0,50,2.662076
-43.0,50,2.689117
-50.0,50,2.722067
-50.0,50,2.750765
-50.0,50,2.778702
-50.0,50,2.806135
-50.0,50,2.835203
-48.0,50,2.86358
-50.0,50,2.890721
-50.0,50,2.921359
-50.0,50,2.948503
-50.0,50,2.97961
-50.0,50,3.006721
-50.0,50,3.033449
-50.0,50,3.062196
-50.0,50,3.089611
-48.0,50,3.118003
-40.0,50,3.145869
-50.0,50,3.173958
-50.0,50,3.406817
-50.0,50,3.618085
-50.0,50,3.830319
-49.0,50,4.046372
-50.0,50,4.259214
-50.0,50,4.471477
-50.0,50,4.68282
-50.0,50,4.895084
-50.0,50,5.108875
-50.0,50,5.324525
-50.0,50,5.539929
-50.0,50,5.768551
-50.0,50,5.992138
-50.0,50,6.216374
-49.0,50,6.432988
-50.0,50,6.650229
-50.0,50,6.876323
-50.0,50,7.105409
-50.0,50,7.334029
-50.0,50,7.55552
-50.0,50,7.779177
-50.0,50,7.997545
-50.0,50,8.214168
-50.0,50,8.431438
-50.0,50,8.650487
-50.0,50,8.870942
-50.0,50,9.086941
-50.0,50,9.303626
-50.0,50,9.522902
-35.0,50,9.738977
-50.0,50,9.955898
-50.0,50,10.172717
-50.0,50,10.389549
-50.0,50,10.607165
-50.0,50,10.825318
-50.0,50,11.038705
-50.0,50,11.25365
-50.0,50,11.469104
-50.0,50,11.684797
-50.0,50,11.899641
-50.0,50,12.119006
-50.0,50,12.334647
-50.0,50,12.550878
-50.0,50,12.768194
-50.0,50,12.987171
-50.0,50,13.203867
-50.0,50,13.42318
-50.0,50,13.638767
-50.0,50,13.852912
-50.0,50,14.066376
-50.0,50,14.281009
-50.0,50,14.495209
-50.0,50,14.714818
-50.0,50,14.932433
-50.0,50,15.146743
-50.0,50,15.359368
-50.0,50,15.575036
-50.0,50,15.790147
-50.0,50,16.003229
-48.0,50,16.222191
-50.0,50,16.438392
-50.0,50,16.656691
-50.0,50,16.871805
-50.0,50,17.085281
-50.0,50,17.300954
-50.0,50,17.517235
-50.0,50,17.731874
-49.0,50,17.95217
-50.0,50,18.171841
-50.0,50,18.390326
-49.0,50,18.614233
-50.0,50,18.831448
-50.0,50,19.0568
-50.0,50,19.275754
-50.0,50,19.493257
-50.0,50,19.710504
-49.0,50,19.933432
-50.0,50,20.15072
-50.0,50,20.368243
-50.0,50,20.585835
-50.0,50,20.804252
-50.0,50,21.021662
-50.0,50,21.238918
-50.0,50,21.457598
-50.0,50,21.677564
-50.0,50,21.895217
-50.0,50,22.113768
-50.0,50,22.332551
-50.0,50,22.554061
-50.0,50,22.772432
-50.0,50,22.990295
-50.0,50,23.20782
-50.0,50,23.43285
-50.0,50,23.64801
-50.0,50,23.860987
-50.0,50,24.078916
-50.0,50,24.29201
-50.0,50,24.503949
-50.0,50,24.716406
-50.0,50,24.931818
-50.0,50,25.151785
-50.0,50,25.367986
-50.0,50,25.584756
-50.0,50,25.802269
-50.0,50,26.020703
-50.0,50,26.237221
-50.0,50,26.453703
-50.0,50,26.668446
-50.0,50,26.887822
-50.0,50,27.106165
-50.0,50,27.323124
-50.0,50,27.540508
-50.0,50,27.76434
-50.0,50,27.982751
