#{"t_start": 1769176515.550743, "env_id": "FetchReachDense-v4"}
r,l,t
-14.555918,50,0.364943
-7.548411,50,0.392998
-9.906134,50,0.420665
-9.07399,50,0.448178
-11.193462,50,0.486585
-9.2604,50,0.516749
-4.827862,50,0.544709
-8.421415,50,0.573518
-5.927165,50,0.602233
-13.594772,50,0.63011
-9.644338,50,0.657309
-11.825656,50,0.686834
-6.074355,50,0.717735
-5.991338,50,0.746462
-9.105841,50,0.776322
-10.986974,50,0.803906
-7.187395,50,0.833195
-10.01894,50,0.862188
-12.506472,50,0.891255
-4.378099,50,0.92054
-9.175358,50,0.950208
-13.874345,50,0.983412
-11.897602,50,1.011802
-10.379709,50,1.040793
-14.081016,50,1.069456
-12.738745,50,1.09767
-7.970874,50,1.126712
-14.571499,50,1.157281
-8.672742,50,1.18435
-6.163788,50,1.212328
-10.195264,50,1.24061
-6.873106,50,1.267954
-10.242503,50,1.297081
-9.701534,50,1.327493
-13.781151,50,1.355665
-9.157718,50,1.385455
-15.32619,50,1.415553
-12.377251,50,1.442702
-10.506918,50,1.47077
-9.155916,50,1.498931
-9.224257,50,1.527224
-9.748931,50,1.558291
-12.344609,50,1.585364
-4.63993,50,1.612684
-13.873965,50,1.640083
-13.55863,50,1.670322
-10.026468,50,1.69897
-6.943425,50,1.72766
-7.610667,50,1.755247
-11.40152,50,1.78461
-15.603387,50,1.813907
-9.263979,50,1.841372
-9.425137,50,1.869145
-11.652175,50,1.897395
-9.379741,50,1.926815
-9.367707,50,1.954329
-12.207373,50,1.984065
-14.424695,50,2.01313
-9.299807,50,2.041989
-16.307462,50,2.070433
-9.915083,50,2.10013
-14.36417,50,2.129527
-12.966386,50,2.156884
-9.034051,50,2.184833
-15.679606,50,2.21331
-8.870312,50,2.241114
-7.974204,50,2.269419
-12.494513,50,2.296294
-7.317799,50,2.324676
-7.370461,50,2.354597
-11.912343,50,2.384532
-14.754599,50,2.414819
-4.621305,50,2.442193
-9.729108,50,2.470376
-7.258046,50,2.497745
-5.572857,50,2.525505
-14.242351,50,2.556567
-10.817625,50,2.584796
-15.590031,50,2.613688
-14.92025,50,2.64225
-9.624234,50,2.669669
-10.328684,50,2.696692
-9.848541,50,2.726767
-7.548691,50,2.756777
-6.278861,50,2.787249
-10.993555,50,2.815643
-9.940202,50,2.843741
-13.216523,50,2.870853
-8.864481,50,2.89978
-14.501616,50,2.931879
-6.3668,50,2.95921
-10.446957,50,2.990107
-7.553053,50,3.018052
-4.749939,50,3.045784
-11.067358,50,3.07413
-9.217013,50,3.103547
-9.902411,50,3.132676
-11.607005,50,3.16051
-9.026581,50,3.18951
-11.533195,50,3.218736
-24.924355,50,3.45218
-8.524948,50,3.670427
-9.21266,50,3.886136
-17.105017,50,4.100213
-13.073265,50,4.315944
-15.697619,50,4.528098
-10.157228,50,4.741006
-11.353231,50,4.954229
-9.0304,50,5.170879
-10.699489,50,5.386821
-2.773788,50,5.617625
-3.806674,50,5.846223
-5.071228,50,6.076257
-9.035931,50,6.308522
-8.648255,50,6.528338
-4.558039,50,6.752699
-7.032357,50,6.979006
-1.814341,50,7.233456
-4.69801,50,7.483093
-4.795795,50,7.707787
-2.12443,50,7.937744
-4.052173,50,8.16498
-2.186721,50,8.39025
-1.238365,50,8.608688
-2.033571,50,8.829043
-2.792854,50,9.045209
-1.89563,50,9.261546
-1.753745,50,9.47506
-1.590909,50,9.728251
-1.534338,50,9.94921
-4.466214,50,10.167463
-3.093344,50,10.382312
-2.976306,50,10.603919
-3.904124,50,10.830117
-1.089646,50,11.047415
-3.607456,50,11.264425
-1.705458,50,11.499414
-2.0127,50,11.745405
-2.907908,50,11.988197
-2.24693,50,12.230278
-3.719724,50,12.459299
-2.659609,50,12.687007
-1.484691,50,12.928989
-2.387172,50,13.151114
-1.360278,50,13.379223
-2.322699,50,13.604437
-3.246052,50,13.829344
-1.571932,50,14.05692
-2.34676,50,14.295637
-0.877193,50,14.525938
-2.332144,50,14.747873
-2.874901,50,14.963442
-2.296532,50,15.183886
-2.113042,50,15.421003
-2.488642,50,15.665411
-2.122794,50,15.883606
-2.070089,50,16.103962
-2.263265,50,16.319012
-1.747269,50,16.534885
-2.012152,50,16.74978
-1.877778,50,16.966813
-1.940527,50,17.181358
-1.582805,50,17.401662
-1.180619,50,17.61601
-1.559877,50,17.845362
-1.862469,50,18.070293
-1.596213,50,18.287847
-2.342167,50,18.504928
-1.909851,50,18.720728
-1.106522,50,18.958645
-2.148799,50,19.181934
-1.417313,50,19.444159
-1.199221,50,19.693624
-3.356656,50,19.932872
-1.416686,50,20.191941
-1.081006,50,20.44397
-1.319859,50,20.696817
-2.438014,50,20.948596
-1.331159,50,21.214626
-2.267168,50,21.462905
-1.680181,50,21.72499
-1.386432,50,21.958079
-2.339594,50,22.179582
-2.203603,50,22.393032
-3.085361,50,22.609919
-1.658509,50,22.82166
-2.183532,50,23.042388
-2.622537,50,23.26216
-2.607726,50,23.483847
-2.64017,50,23.703939
-1.307129,50,23.928309
-2.696261,50,24.154228
-3.31649,50,24.398989
-1.455959,50,24.631843
-3.262529,50,24.876739
-1.14022,50,25.111998
-1.350491,50,25.355827
-2.018334,50,25.602819
-1.345403,50,25.846554
-2.999541,50,26.09915
-1.36659,50,26.345223
-1.786761,50,26.588275
-1.324649,50,26.817082
-2.258921,50,27.037997
-1.71559,50,27.272928
-1.795839,50,27.512172
-1.606219,50,27.757745
-1.401408,50,27.991227
-1.663272,50,28.224043
-1.923423,50,28.467957
-1.986396,50,28.706889
-0.895858,50,28.96522
-1.583588,50,29.212203
-1.963476,50,29.459098
-1.587674,50,29.685894
-1.431159,50,29.921454
-1.434753,50,30.15465
-1.476616,50,30.387235
-1.015223,50,30.628399
-1.828944,50,30.853507
-1.180025,50,31.085859
-0.954272,50,31.305011
-1.17796,50,31.530135
-1.514791,50,31.756148
-1.728771,50,31.97951
-1.266093,50,32.202449
-1.519971,50,32.423408
-1.361815,50,32.638247
-1.853084,50,32.856602
-1.906437,50,33.079699
-1.147768,50,33.303239
-1.585208,50,33.528988
-1.351876,50,33.764542
-0.998425,50,33.999673
-1.422337,50,34.226636
-1.920119,50,34.455851
-1.155503,50,34.694166
-1.344413,50,34.934801
-1.929365,50,35.159582
-1.452599,50,35.385362
-1.169441,50,35.610793
-1.888907,50,35.835149
-0.903058,50,36.065114
-1.174351,50,36.291919
-0.995742,50,36.527116
-0.914259,50,36.752282
-1.850622,50,36.978805
-0.756961,50,37.201149
-1.396351,50,37.428539
-1.354493,50,37.660297
-1.779512,50,37.892501
-1.158825,50,38.12252
-1.044265,50,38.356853
-0.937009,50,38.581982
-1.165288,50,38.812824
-1.63813,50,39.053155
-1.226792,50,39.283507
-0.817787,50,39.509429
-1.046772,50,39.740821
-1.297576,50,39.968575
-0.576066,50,40.196861
-0.876566,50,40.428459
-1.217022,50,40.666492
-0.844186,50,40.89371
-1.076343,50,41.125664
-1.568443,50,41.359505
-1.545882,50,41.599059
-1.173479,50,41.830913
-0.980529,50,42.061958
-0.763426,50,42.288764
-1.983826,50,42.520032
-1.472695,50,42.745441
-1.111357,50,42.972355
-0.996841,50,43.198571
-0.810916,50,43.427849
-1.138311,50,43.659483
-0.895866,50,43.886139
-0.716111,50,44.110282
-0.522824,50,44.334339
-0.861354,50,44.559429
-0.771204,50,44.786611
-1.002249,50,45.012958
-1.22817,50,45.235989
-1.190155,50,45.457863
-1.092932,50,45.6834
-1.012021,50,45.908455
-1.3234,50,46.133515
-1.303346,50,46.358149
-0.726281,50,46.583898
-0.808708,50,46.808835
-0.707742,50,47.032897
-0.632796,50,47.258071
-1.424314,50,47.48807
-0.734395,50,47.71369
-0.806907,50,47.938904
-0.6305,50,48.166653
-0.428034,50,48.393253
-1.09496,50,48.620613
-1.83872,50,48.856068
-0.623669,50,49.082562
-1.178332,50,49.311696
-0.828552,50,49.540521
-1.463967,50,49.768197
-0.955675,50,49.998047
-1.088975,50,50.225143
-1.666463,50,50.453986
-1.101793,50,50.681073
-0.995403,50,50.912368
-0.784526,50,51.14082
-0.890011,50,51.374772
-0.653301,50,51.604305
-1.090253,50,51.832126
-0.917638,50,52.063315
-0.807139,50,52.291574
-0.708412,50,52.520525
-0.906339,50,52.746271
-0.986159,50,52.975504
-0.91858,50,53.204903
-1.009562,50,53.42769
-0.811189,50,53.65761
-0.622875,50,53.884418
-0.655657,50,54.110149
-0.694241,50,54.338093
-0.703611,50,54.57038
-1.699075,50,54.807487
-1.112196,50,55.04358
-0.990027,50,55.275714
-1.287643,50,55.500666
-0.907985,50,55.733332
-1.50403,50,55.96461
-0.968455,50,56.190311
-1.030335,50,56.414737
-0.647812,50,56.640398
-1.443584,50,56.87455
-0.963581,50,57.104342
-1.011841,50,57.332602
-1.184268,50,57.558334
-1.358088,50,57.790789
-1.866172,50,58.02308
-0.977968,50,58.249536
-0.710693,50,58.482546
-0.809185,50,58.709296
-0.782225,50,58.938073
-0.949066,50,59.167062
-1.20975,50,59.394184
-0.808467,50,59.620195
-0.973957,50,59.86005
