#{"t_start": 1769188913.471223, "env_id": "FetchReachDense-v4"}
r,l,t
-7.61108,50,0.84628
-15.147129,50,0.876717
-15.335512,50,0.906802
-11.194269,50,0.935542
-6.410066,50,0.97593
-15.942268,50,1.005704
-6.617907,50,1.03547
-8.117996,50,1.06301
-10.445535,50,1.092009
-8.516539,50,1.120201
-10.635455,50,1.149245
-8.356264,50,1.176417
-14.904224,50,1.204904
-10.943029,50,1.23613
-9.47969,50,1.266331
-7.543918,50,1.293659
-8.394375,50,1.321987
-6.058259,50,1.350176
-11.739387,50,1.378914
-6.950858,50,1.407975
-4.374627,50,1.437324
-8.100831,50,1.468012
-11.914117,50,1.497127
-8.708164,50,1.525247
-7.999797,50,1.553044
-13.480795,50,1.581524
-7.391866,50,1.610391
-11.730943,50,1.637859
-5.955728,50,1.667555
-12.743611,50,1.697045
-7.415735,50,1.724965
-8.136358,50,1.753888
-7.447994,50,1.783058
-16.389841,50,1.8105
-12.720224,50,1.841005
-10.615064,50,1.869102
-6.842318,50,1.898632
-13.451648,50,1.926977
-4.55339,50,1.956295
-5.336675,50,1.983782
-4.381909,50,2.013549
-11.113409,50,2.042048
-3.829705,50,2.072022
-5.063547,50,2.101328
-6.390679,50,2.130227
-6.169371,50,2.161469
-9.966808,50,2.19188
-14.169166,50,2.224362
-12.759576,50,2.253305
-10.853321,50,2.281875
-8.739307,50,2.309986
-9.663718,50,2.340106
-8.588739,50,2.36874
-9.376282,50,2.397921
-12.467493,50,2.44561
-13.747826,50,2.480653
-14.107234,50,2.509885
-6.816933,50,2.541596
-6.332171,50,2.572661
-13.221223,50,2.601641
-10.813017,50,2.63193
-9.293208,50,2.660895
-12.323328,50,2.691485
-8.838568,50,2.722687
-11.366246,50,2.751832
-13.331643,50,2.781551
-14.859461,50,2.811416
-4.347248,50,2.840279
-16.00438,50,2.869383
-7.923476,50,2.898734
-10.93144,50,2.927524
-9.065841,50,2.959202
-9.256456,50,2.98933
-9.773654,50,3.020654
-12.673503,50,3.051379
-8.98791,50,3.080238
-6.140063,50,3.108919
-10.072778,50,3.139012
-7.049128,50,3.170734
-6.380434,50,3.200057
-10.97177,50,3.228834
-10.010264,50,3.260017
-10.255785,50,3.28806
-5.322759,50,3.316763
-12.12585,50,3.346741
-11.111538,50,3.376379
-16.137452,50,3.406905
-20.9609,50,3.436246
-8.00155,50,3.467062
-13.140008,50,3.496049
-16.355094,50,3.524675
-13.270773,50,3.555281
-5.93439,50,3.585858
-17.790939,50,3.6169
-17.611398,50,3.645426
-7.081938,50,3.6754
-9.69361,50,3.704187
-6.97705,50,3.735221
-6.100639,50,3.764665
-18.878052,50,3.793375
-15.274403,50,4.081361
-5.177654,50,4.360898
-10.91582,50,4.64751
-15.894696,50,4.952541
-15.478688,50,5.232788
-9.537108,50,5.500326
-21.234863,50,5.788146
-31.767781,50,6.137091
-12.018492,50,6.392308
-13.18729,50,6.633842
-11.450777,50,6.873461
-21.555711,50,7.110713
-20.113901,50,7.355543
-9.039162,50,7.596451
-6.483736,50,7.83569
-8.869694,50,8.074846
-11.936235,50,8.317169
-15.312447,50,8.550058
-8.320397,50,8.784655
-3.571668,50,9.022813
-4.405341,50,9.262275
-1.423357,50,9.497746
-7.729697,50,9.73459
-2.727826,50,9.969716
-1.845457,50,10.211134
-1.310094,50,10.455987
-1.348092,50,10.690645
-2.030636,50,10.926753
-1.463145,50,11.163446
-1.684562,50,11.398763
-0.84905,50,11.63289
-0.775671,50,11.86671
-1.658199,50,12.101928
-1.434032,50,12.33588
-1.23603,50,12.569442
-0.935779,50,12.80275
-1.206487,50,13.036166
-0.84192,50,13.269904
-1.424938,50,13.503945
-1.284183,50,13.735087
-1.393579,50,13.968507
-0.984367,50,14.20305
-1.3215,50,14.436251
-1.384275,50,14.680031
-1.725838,50,14.926699
-0.844969,50,15.161108
-1.027338,50,15.396018
-0.79465,50,15.62978
-1.316889,50,15.862829
-1.040015,50,16.096478
-1.539945,50,16.329155
-0.975346,50,16.561328
-1.140415,50,16.799027
-1.033174,50,17.031722
-0.928905,50,17.265467
-1.211202,50,17.498824
-1.564211,50,17.738314
-1.186434,50,17.975074
-0.889331,50,18.207991
-1.065227,50,18.445555
-1.106639,50,18.684776
-1.426026,50,18.917286
-1.234753,50,19.15244
-1.206108,50,19.396035
-0.810589,50,19.635062
-1.208159,50,19.872446
-0.983282,50,20.1636
-1.517148,50,20.453448
-1.232074,50,20.773065
-1.39046,50,21.019409
-1.030744,50,21.269583
-1.089494,50,21.550358
-1.22533,50,21.867803
-1.472794,50,22.157499
-1.008854,50,22.427119
-1.281069,50,22.751324
-1.244801,50,22.995732
-1.665271,50,23.235844
-0.926929,50,23.470355
-1.190323,50,23.708958
-1.590904,50,23.954112
-1.518308,50,24.189426
-0.715836,50,24.425452
-0.799265,50,24.667157
-1.160649,50,24.944406
-0.937249,50,25.217994
-1.550959,50,25.476066
-1.951817,50,25.713873
-1.62185,50,25.9762
-1.216781,50,26.216118
-1.190303,50,26.473659
-1.395995,50,26.717232
-1.239413,50,26.959893
-1.096154,50,27.223901
-1.450769,50,27.502583
-1.273315,50,27.801419
-1.174186,50,28.103203
-1.325399,50,28.344142
-0.818355,50,28.580185
-1.191317,50,28.81876
-0.823591,50,29.082428
-1.425401,50,29.320118
-1.352417,50,29.560652
-1.426062,50,29.816424
-1.537806,50,30.079818
-1.044332,50,30.323296
-1.230885,50,30.561339
-1.317423,50,30.798652
-1.13813,50,31.05494
-1.107889,50,31.292858
-1.538464,50,31.534893
-1.218467,50,31.776731
-1.071864,50,32.01527
-1.219555,50,32.252724
-1.119558,50,32.497721
-0.886496,50,32.738321
-2.118924,50,32.990395
-1.007315,50,33.228012
-1.129076,50,33.46649
-1.051233,50,33.707416
-0.80514,50,33.953138
-1.079691,50,34.189288
-1.439517,50,34.427814
-0.993343,50,34.671133
-0.847339,50,34.91013
-1.012854,50,35.172832
-0.828926,50,35.453481
-1.132567,50,35.774675
-1.109544,50,36.114305
-0.872751,50,36.388123
-1.058236,50,36.671011
-1.032694,50,36.968317
-1.253555,50,37.243827
-0.730996,50,37.51432
-0.984395,50,37.783963
-1.765743,50,38.100661
-1.04639,50,38.348099
-0.889829,50,38.607729
-1.204968,50,38.88218
-1.347802,50,39.151558
-0.935716,50,39.426601
-0.832497,50,39.691797
-0.846969,50,39.954767
-0.869816,50,40.201125
-0.604974,50,40.542125
-1.121558,50,40.822009
-0.763473,50,41.084965
-0.717549,50,41.34529
-1.166983,50,41.58709
-1.289758,50,41.859024
-1.130866,50,42.147068
-0.720342,50,42.442735
-1.238182,50,42.758163
-1.122278,50,43.026992
-1.039834,50,43.28251
-0.941403,50,43.538748
-1.598365,50,43.81448
-0.970598,50,44.056047
-1.323598,50,44.317164
-1.413894,50,44.572491
-0.736197,50,44.889277
-0.810014,50,45.141932
-0.920521,50,45.383432
-0.810968,50,45.621411
-0.882126,50,45.891481
-1.203826,50,46.166163
-0.82219,50,46.448278
-1.488085,50,46.728451
-1.074093,50,47.045304
-1.155045,50,47.322835
-0.929832,50,47.574089
-0.851986,50,47.85096
-0.676155,50,48.157148
-0.514807,50,48.428607
-1.162159,50,48.685226
-1.622024,50,48.991353
-0.761395,50,49.306334
-0.810761,50,49.562802
-0.887393,50,49.798305
-0.967018,50,50.031791
-0.908488,50,50.340805
-1.426418,50,50.62221
-1.009612,50,50.874462
-1.07347,50,51.119482
-1.012064,50,51.399305
-1.340981,50,51.642094
-0.976206,50,51.889845
-0.774502,50,52.135589
-0.877925,50,52.375733
-1.318026,50,52.608494
-1.172933,50,52.840726
-0.915458,50,53.085965
-0.907156,50,53.360305
-0.778299,50,53.609141
-1.24759,50,53.856064
-0.932558,50,54.142839
-1.386947,50,54.413756
-1.496419,50,54.68025
-1.022239,50,54.947221
-1.0459,50,55.188353
-1.207053,50,55.51848
-1.295351,50,55.768564
-1.068992,50,56.011319
-1.006406,50,56.251045
-1.566226,50,56.540545
-1.720266,50,56.797183
-1.014169,50,57.03826
-0.835,50,57.272869
-0.963975,50,57.533267
-1.521904,50,57.775708
-0.890254,50,58.017545
-0.704212,50,58.293447
-1.037566,50,58.611211
-1.744258,50,58.845526
-0.959578,50,59.120413
-1.111769,50,59.433042
-0.658437,50,59.688789
-0.961125,50,59.929829
-0.755857,50,60.164045
-1.136512,50,60.398144
-1.695372,50,60.654035
-1.518556,50,60.888413
-0.944246,50,61.126285
-0.476991,50,61.36033
-1.280787,50,61.601978
-0.693806,50,61.868099
-0.916493,50,62.148217
-1.018811,50,62.403005
-1.572165,50,62.698633
-1.285341,50,62.941398
